champion_i,champion_j,games_ij
Anivia,Akshan,984.0
Anivia,Naafiri,937.0
Anivia,Vex,889.0
Anivia,Talon,742.0
Anivia,Qiyana,737.0
Anivia,Annie,733.0
Anivia,Azir,660.0
Anivia,Taliyah,603.0
Anivia,Vel'Koz,519.0
Anivia,Swain,406.0
Anivia,Brand,402.0
Anivia,Cassiopeia,401.0
Anivia,Smolder,326.0
Anivia,Sion,319.0
Anivia,Ziggs,314.0
Anivia,Kayle,252.0
Anivia,Cho'Gath,241.0
Anivia,Pantheon,231.0
Anivia,Morgana,220.0
Anivia,Jayce,197.0
Anivia,Kog'Maw,196.0
Anivia,Nasus,181.0
Anivia,Malphite,180.0
Akali,Ahri,10824.0
Akali,Yasuo,9295.0
Akali,Sylas,7233.0
Akali,Zed,6318.0
Akali,Katarina,6061.0
Akali,Yone,5782.0
Akali,Galio,5302.0
Akali,Viktor,5144.0
Akali,Malzahar,4890.0
Akali,Twisted Fate,4775.0
Akali,Mel,4142.0
Akali,Veigar,3595.0
Akali,LeBlanc,3532.0
Akali,Fizz,3529.0
Akali,Vex,3219.0
Akali,Diana,3212.0
Akali,Orianna,3182.0
Akali,Xerath,3151.0
Akali,Ryze,2977.0
Akali,Lux,2914.0
Akali,Syndra,2858.0
Akali,Lissandra,2799.0
Akali,Aurora,2626.0
Akali,Zoe,2415.0
Akali,Irelia,2412.0
Akali,Ekko,2292.0
Akali,Hwei,2276.0
Akali,Vladimir,2153.0
Akali,Kassadin,2150.0
Akali,Akshan,2047.0
Akali,Aurelion Sol,2042.0
Akali,Anivia,2027.0
Akali,Naafiri,1967.0
Akali,Annie,1941.0
Akali,Qiyana,1932.0
Akali,Talon,1728.0
Akali,Azir,1274.0
Akali,Taliyah,1202.0
Akali,Pantheon,987.0
Akali,Vel'Koz,806.0
Akali,Brand,803.0
Akali,Swain,763.0
Akali,Sion,691.0
Akali,Cassiopeia,652.0
Akali,Smolder,637.0
Akali,Ziggs,544.0
Akali,Malphite,523.0
Akali,Jayce,514.0
Akali,Cho'Gath,490.0
Akali,Nasus,394.0
Akali,Kayle,390.0
Akali,Morgana,379.0
Akali,Kog'Maw,360.0
Vex,Ahri,5643.0
Vex,Yasuo,4767.0
Vex,Katarina,3331.0
Vex,LeBlanc,3244.0
Vex,Akali,3219.0
Vex,Sylas,2616.0
Vex,Zed,2564.0
Vex,Yone,2432.0
Vex,Viktor,2373.0
Vex,Malzahar,2006.0
Vex,Xerath,1879.0
Vex,Mel,1772.0
Vex,Veigar,1687.0
Vex,Syndra,1640.0
Vex,Fizz,1625.0
Vex,Diana,1481.0
Vex,Lux,1406.0
Vex,Twisted Fate,1399.0
Vex,Orianna,1249.0
Vex,Aurora,1194.0
Vex,Irelia,1185.0
Vex,Hwei,1089.0
Vex,Zoe,1060.0
Vex,Ekko,1058.0
Vex,Ryze,991.0
Vex,Naafiri,977.0
Vex,Galio,961.0
Vex,Akshan,957.0
Vex,Kassadin,940.0
Vex,Lissandra,925.0
Vex,Anivia,889.0
Vex,Qiyana,874.0
Vex,Aurelion Sol,862.0
Vex,Annie,840.0
Vex,Vladimir,786.0
Vex,Talon,749.0
Vex,Azir,497.0
Vex,Taliyah,489.0
Vex,Vel'Koz,369.0
Vex,Brand,356.0
Vex,Cassiopeia,304.0
Vex,Smolder,289.0
Vex,Swain,273.0
Vex,Sion,235.0
Vex,Ziggs,232.0
Vex,Pantheon,217.0
Vex,Malphite,205.0
Vex,Cho'Gath,177.0
Vex,Jayce,170.0
Vex,Kog'Maw,162.0
Vex,Nasus,158.0
Vex,Kayle,155.0
