champion_i,champion_j,games_ij
Aurelion Sol,Malzahar,2608.0
Aurelion Sol,Ahri,2464.0
Aurelion Sol,Yasuo,2161.0
Aurelion Sol,Mel,2002.0
Aurelion Sol,Viktor,1924.0
Aurelion Sol,Yone,1663.0
Aurelion Sol,Sylas,1579.0
Aurelion Sol,Katarina,1536.0
Aurelion Sol,Veigar,1418.0
Aurelion Sol,Akali,1369.0
Aurelion Sol,Xerath,1315.0
Aurelion Sol,Fizz,1290.0
Aurelion Sol,Zed,1233.0
Aurelion Sol,Syndra,1219.0
Aurelion Sol,Orianna,1145.0
Aurelion Sol,Lux,1075.0
Aurelion Sol,Lissandra,1036.0
Aurelion Sol,Twisted Fate,1030.0
Aurelion Sol,Anivia,1002.0
Aurelion Sol,LeBlanc,934.0
Aurelion Sol,Diana,894.0
Aurelion Sol,Aurora,894.0
Aurelion Sol,Ryze,845.0
Aurelion Sol,Hwei,780.0
Aurelion Sol,Zoe,776.0
Aurelion Sol,Vladimir,762.0
Aurelion Sol,Ekko,743.0
Aurelion Sol,Kassadin,731.0
Aurelion Sol,Vex,721.0
Aurelion Sol,Galio,663.0
Aurelion Sol,Naafiri,646.0
Aurelion Sol,Irelia,604.0
Aurelion Sol,Akshan,593.0
Aurelion Sol,Azir,572.0
Aurelion Sol,Talon,518.0
Aurelion Sol,Qiyana,496.0
Aurelion Sol,Annie,492.0
Aurelion Sol,Cassiopeia,356.0
Aurelion Sol,Swain,326.0
Aurelion Sol,Brand,323.0
Aurelion Sol,Vel'Koz,316.0
Aurelion Sol,Taliyah,307.0
Aurelion Sol,Sion,273.0
Aurelion Sol,Smolder,255.0
Aurelion Sol,Ziggs,224.0
Aurelion Sol,Cho'Gath,160.0
Aurelion Sol,Pantheon,150.0
Aurelion Sol,Nasus,149.0
Aurelion Sol,Morgana,146.0
Aurelion Sol,Malphite,133.0
Aurelion Sol,Jayce,128.0
Anivia,Ahri,3097.0
Anivia,Viktor,2343.0
Anivia,Yasuo,2299.0
Anivia,Xerath,2073.0
Anivia,Malzahar,2028.0
Anivia,Mel,1813.0
Anivia,Zed,1752.0
Anivia,Katarina,1614.0
Anivia,Sylas,1612.0
Anivia,Yone,1486.0
Anivia,Akali,1458.0
Anivia,Veigar,1398.0
Anivia,Syndra,1360.0
Anivia,Fizz,1303.0
Anivia,Orianna,1261.0
Anivia,Twisted Fate,1256.0
Anivia,Lissandra,1226.0
Anivia,LeBlanc,1212.0
Anivia,Ryze,1197.0
Anivia,Lux,1123.0
Anivia,Aurora,1054.0
Anivia,Hwei,1048.0
Anivia,Aurelion Sol,1002.0
Anivia,Vladimir,930.0
Anivia,Diana,888.0
Anivia,Zoe,883.0
Anivia,Galio,861.0
Anivia,Vex,829.0
Anivia,Ekko,826.0
Anivia,Kassadin,779.0
Anivia,Akshan,765.0
Anivia,Azir,717.0
Anivia,Irelia,704.0
Anivia,Talon,635.0
Anivia,Naafiri,633.0
Anivia,Annie,628.0
Anivia,Qiyana,555.0
Anivia,Vel'Koz,508.0
Anivia,Ziggs,437.0
Anivia,Cassiopeia,386.0
Anivia,Swain,342.0
Anivia,Taliyah,318.0
Anivia,Brand,315.0
Anivia,Sion,244.0
Anivia,Smolder,220.0
Anivia,Morgana,210.0
Anivia,Jayce,184.0
Anivia,Pantheon,179.0
Anivia,Nasus,156.0
Anivia,Cho'Gath,155.0
Anivia,Malphite,147.0
Zed,Ahri,6117.0
Zed,Yasuo,5827.0
Zed,Katarina,4270.0
Zed,Sylas,4221.0
Zed,Akali,4081.0
Zed,Lissandra,4058.0
Zed,Malzahar,3903.0
Zed,Viktor,3476.0
Zed,Fizz,3286.0
Zed,Mel,3036.0
Zed,Xerath,2917.0
Zed,Yone,2779.0
Zed,LeBlanc,2603.0
Zed,Diana,2565.0
Zed,Veigar,2448.0
Zed,Lux,2388.0
Zed,Twisted Fate,2325.0
Zed,Ekko,2128.0
Zed,Orianna,2102.0
Zed,Syndra,2030.0
Zed,Malphite,2005.0
Zed,Vex,1949.0
Zed,Vladimir,1927.0
Zed,Zoe,1873.0
Zed,Anivia,1752.0
Zed,Irelia,1729.0
Zed,Talon,1709.0
Zed,Aurora,1642.0
Zed,Ryze,1639.0
Zed,Hwei,1426.0
Zed,Galio,1413.0
Zed,Qiyana,1396.0
Zed,Akshan,1364.0
Zed,Naafiri,1263.0
Zed,Annie,1250.0
Zed,Aurelion Sol,1233.0
Zed,Azir,1170.0
Zed,Sion,951.0
Zed,Kassadin,896.0
Zed,Cassiopeia,638.0
Zed,Nasus,604.0
Zed,Vel'Koz,586.0
Zed,Pantheon,584.0
Zed,Brand,519.0
Zed,Taliyah,502.0
Zed,Swain,497.0
Zed,Ziggs,485.0
Zed,Cho'Gath,370.0
Zed,Jayce,355.0
Zed,Smolder,342.0
Zed,Morgana,281.0
