pool,pool_size,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best
"Fizz, Sion, Swain",3,0.5431811362120244,0.5431434527656207,0.0026990877673699083,0.5388180815783279,0.5476450032221767,0.001
"Nasus, Pantheon, Xerath",3,0.5431682780459796,0.5431556331278152,0.00290371967647153,0.5384685673487529,0.548069163521121,0.0076
"Annie, Sion, Vel'Koz",3,0.5431547547713986,0.5431712878692749,0.0027574302677157857,0.5385782448437195,0.5476638944382655,0.0014
"Aurelion Sol, Morgana, Sion",3,0.5431427391663974,0.5431271647518237,0.0029095394002505506,0.538319499768243,0.5479194904978338,0.0008
"Malphite, Sion, Xerath",3,0.5431219628037239,0.5430922592767325,0.0026298770632700677,0.5388448887548226,0.5476105924229718,0.0032
"Cassiopeia, Pantheon, Sion",3,0.5431188386652797,0.5430731103092787,0.003053531941661899,0.5381402139232229,0.5481657128825034,0.0002
"Diana, Morgana, Sion",3,0.5431162044185699,0.5431336444137624,0.0028506307675052397,0.538546766387449,0.547709665826961,0.0014
"Anivia, Sion, Xerath",3,0.5431157669620895,0.5430764707590752,0.0024256554095524003,0.5391638114969416,0.5471881460840418,0.0008
"Katarina, Morgana, Sion",3,0.5430870670448279,0.5430626224191257,0.0029511261890836707,0.5382595441012447,0.5478463041280777,0.0004
"Anivia, Sion, Vel'Koz",3,0.5430683930366121,0.5430496095194672,0.002707425982748129,0.5386661820867749,0.5476130447257204,0.0006
"Nasus, Pantheon, Vel'Koz",3,0.543047042513138,0.5430447650259327,0.0032588796581420436,0.5377598211027593,0.5485197179495837,0.0142
"Pantheon, Sion, Vex",3,0.5430417708408106,0.5430753249376745,0.0028898597811340236,0.5383244783703358,0.5477886065509524,0.0
"Lissandra, Morgana, Sion",3,0.542871854098077,0.5428160301690539,0.002752346760438675,0.5384043627453394,0.5474442470979419,0.0008
"Annie, Naafiri, Sion",3,0.5428718519580723,0.5428441999948332,0.002582698222767927,0.5386299695316259,0.5472147050012155,0.002
