train_patch,eval_patch,model,parameter,pool_size,rank,pool_ids,pool_names,training_score_a,evaluation_score_b
16.05,16.06,shrink_overall,250,3,9,aurelionsol|sion|vex,"Aurelion Sol, Sion, Vex",0.5394300807784196,0.5421798238087076
16.05,16.06,shrink_overall,250,3,10,annie|sion|xerath,"Annie, Sion, Xerath",0.5393837800204196,0.542051179646606
16.05,16.06,shrink_overall,250,4,1,nasus|sion|vex|xerath,"Nasus, Sion, Vex, Xerath",0.5459911031161759,0.5498983597863086
16.05,16.06,shrink_overall,250,4,2,aurelionsol|nasus|sion|vex,"Aurelion Sol, Nasus, Sion, Vex",0.5450727420967956,0.5488944952904397
16.05,16.06,shrink_overall,250,4,3,nasus|sion|veigar|xerath,"Nasus, Sion, Veigar, Xerath",0.5443619619043986,0.548167930161965
16.05,16.06,shrink_overall,250,4,4,nasus|sion|veigar|vex,"Nasus, Sion, Veigar, Vex",0.5440990600162338,0.547418879949067
16.05,16.06,shrink_overall,250,4,5,brand|nasus|sion|vex,"Brand, Nasus, Sion, Vex",0.5440541075567256,0.5464615413459368
16.05,16.06,shrink_overall,250,4,6,naafiri|nasus|sion|vex,"Naafiri, Nasus, Sion, Vex",0.5439469820597624,0.5478757485956735
16.05,16.06,shrink_overall,250,4,7,ahri|nasus|sion|vex,"Ahri, Nasus, Sion, Vex",0.5438971167350198,0.5462880091422839
16.05,16.06,shrink_overall,250,4,8,morgana|nasus|sion|vex,"Morgana, Nasus, Sion, Vex",0.5438580389191298,0.548694665572444
16.05,16.06,shrink_overall,250,4,9,malzahar|nasus|sion|vex,"Malzahar, Nasus, Sion, Vex",0.5438422435973035,0.5448568878646662
16.05,16.06,shrink_overall,250,4,10,fizz|nasus|sion|vex,"Fizz, Nasus, Sion, Vex",0.5437719746911578,0.5474012916989494
16.05,16.06,shrink_overall,500,2,1,sion|xerath,"Sion, Xerath",0.5348426534424797,0.5370566243546278
16.05,16.06,shrink_overall,500,2,2,sion|vex,"Sion, Vex",0.5341353050732439,0.5357223973991863
16.05,16.06,shrink_overall,500,2,3,nasus|sion,"Nasus, Sion",0.5335398120838813,0.5351324439768573
16.05,16.06,shrink_overall,500,2,4,nasus|vex,"Nasus, Vex",0.5334519227279209,0.5321761800706452
16.05,16.06,shrink_overall,500,2,5,sion|veigar,"Sion, Veigar",0.5333401116846638,0.5359753936446227
16.05,16.06,shrink_overall,500,2,6,nasus|veigar,"Nasus, Veigar",0.5323046131536183,0.5318438884752826
16.05,16.06,shrink_overall,500,2,7,nasus|xerath,"Nasus, Xerath",0.5321373261807932,0.5314747061257301
16.05,16.06,shrink_overall,500,2,8,annie|sion,"Annie, Sion",0.5320189866440005,0.537263692299631
16.05,16.06,shrink_overall,500,2,9,ahri|sion,"Ahri, Sion",0.5318071383326715,0.5328993693174969
16.05,16.06,shrink_overall,500,2,10,aurelionsol|sion,"Aurelion Sol, Sion",0.531272844449796,0.5352786570347187
16.05,16.06,shrink_overall,500,3,1,sion|vex|xerath,"Sion, Vex, Xerath",0.5398071096500507,0.5429036180836946
16.05,16.06,shrink_overall,500,3,2,nasus|sion|vex,"Nasus, Sion, Vex",0.5391566075818299,0.5434239703723853
16.05,16.06,shrink_overall,500,3,3,nasus|sion|xerath,"Nasus, Sion, Xerath",0.5382816334507089,0.5450715849250453
16.05,16.06,shrink_overall,500,3,4,nasus|vex|xerath,"Nasus, Vex, Xerath",0.5380788274580491,0.5403773922925436
16.05,16.06,shrink_overall,500,3,5,nasus|sion|veigar,"Nasus, Sion, Veigar",0.5379778786428145,0.5440583570694293
16.05,16.06,shrink_overall,500,3,6,sion|veigar|xerath,"Sion, Veigar, Xerath",0.5378499156705384,0.5406473296892219
16.05,16.06,shrink_overall,500,3,7,aurelionsol|sion|vex,"Aurelion Sol, Sion, Vex",0.5375319710976025,0.5421798238087076
16.05,16.06,shrink_overall,500,3,8,annie|sion|xerath,"Annie, Sion, Xerath",0.5375288115764246,0.542051179646606
16.05,16.06,shrink_overall,500,3,9,aurelionsol|nasus|vex,"Aurelion Sol, Nasus, Vex",0.5372503904200336,0.5402423733228495
16.05,16.06,shrink_overall,500,3,10,malzahar|sion|xerath,"Malzahar, Sion, Xerath",0.5371503061484216,0.5396179068246679
16.05,16.06,shrink_overall,500,4,1,nasus|sion|vex|xerath,"Nasus, Sion, Vex, Xerath",0.5426068870549727,0.5498983597863086
16.05,16.06,shrink_overall,500,4,2,aurelionsol|nasus|sion|vex,"Aurelion Sol, Nasus, Sion, Vex",0.5415652982660226,0.5488944952904397
16.05,16.06,shrink_overall,500,4,3,sion|veigar|vex|xerath,"Sion, Veigar, Vex, Xerath",0.5413032355857188,0.5444707684831092
16.05,16.06,shrink_overall,500,4,4,nasus|sion|veigar|xerath,"Nasus, Sion, Veigar, Xerath",0.5411436117088677,0.548167930161965
16.05,16.06,shrink_overall,500,4,5,malzahar|sion|vex|xerath,"Malzahar, Sion, Vex, Xerath",0.5411310343145244,0.5441106379002553
16.05,16.06,shrink_overall,500,4,6,nasus|sion|veigar|vex,"Nasus, Sion, Veigar, Vex",0.5409341450506284,0.547418879949067
16.05,16.06,shrink_overall,500,4,7,aurelionsol|sion|vex|xerath,"Aurelion Sol, Sion, Vex, Xerath",0.5408884646773936,0.5456767152383313
16.05,16.06,shrink_overall,500,4,8,mel|sion|vex|xerath,"Mel, Sion, Vex, Xerath",0.5406980178354307,0.5441564961736527
16.05,16.06,shrink_overall,500,4,9,fizz|sion|vex|xerath,"Fizz, Sion, Vex, Xerath",0.5406180976512349,0.5454265220885021
16.05,16.06,shrink_overall,500,4,10,naafiri|sion|vex|xerath,"Naafiri, Sion, Vex, Xerath",0.5406092700099286,0.5462919367291198
16.05,16.06,shrink_overall,1000,2,1,sion|xerath,"Sion, Xerath",0.5332711809723618,0.5370566243546278
16.05,16.06,shrink_overall,1000,2,2,sion|vex,"Sion, Vex",0.5330173256442859,0.5357223973991863
16.05,16.06,shrink_overall,1000,2,3,sion|veigar,"Sion, Veigar",0.5322037624642809,0.5359753936446227
16.05,16.06,shrink_overall,1000,2,4,nasus|sion,"Nasus, Sion",0.5320238317450955,0.5351324439768573
16.05,16.06,shrink_overall,1000,2,5,nasus|vex,"Nasus, Vex",0.531527694201771,0.5321761800706452
16.05,16.06,shrink_overall,1000,2,6,ahri|sion,"Ahri, Sion",0.5312775861916184,0.5328993693174969
16.05,16.06,shrink_overall,1000,2,7,nasus|veigar,"Nasus, Veigar",0.5308927626570971,0.5318438884752826
16.05,16.06,shrink_overall,1000,2,8,annie|sion,"Annie, Sion",0.5308483335512703,0.537263692299631
16.05,16.06,shrink_overall,1000,2,9,nasus|xerath,"Nasus, Xerath",0.5308193484904676,0.5314747061257301
16.05,16.06,shrink_overall,1000,2,10,aurelionsol|sion,"Aurelion Sol, Sion",0.5307440780733197,0.5352786570347187
16.05,16.06,shrink_overall,1000,3,1,sion|vex|xerath,"Sion, Vex, Xerath",0.5373665761953144,0.5429036180836946
16.05,16.06,shrink_overall,1000,3,2,nasus|sion|vex,"Nasus, Sion, Vex",0.5359425386561993,0.5434239703723853
16.05,16.06,shrink_overall,1000,3,3,sion|veigar|xerath,"Sion, Veigar, Xerath",0.5358191766443043,0.5406473296892219
16.05,16.06,shrink_overall,1000,3,4,nasus|sion|xerath,"Nasus, Sion, Xerath",0.5355748510598579,0.5450715849250453
16.05,16.06,shrink_overall,1000,3,5,annie|sion|xerath,"Annie, Sion, Xerath",0.5353490842482153,0.542051179646606
16.05,16.06,shrink_overall,1000,3,6,nasus|vex|xerath,"Nasus, Vex, Xerath",0.5353327021768203,0.5403773922925436
16.05,16.06,shrink_overall,1000,3,7,aurelionsol|sion|vex,"Aurelion Sol, Sion, Vex",0.5352631147996079,0.5421798238087076
16.05,16.06,shrink_overall,1000,3,8,malzahar|sion|xerath,"Malzahar, Sion, Xerath",0.5352348071992754,0.5396179068246679
16.05,16.06,shrink_overall,1000,3,9,nasus|sion|veigar,"Nasus, Sion, Veigar",0.5351272353742447,0.5440583570694293
16.05,16.06,shrink_overall,1000,3,10,sion|veigar|vex,"Sion, Veigar, Vex",0.5350771510326555,0.5400763910755512
16.05,16.06,shrink_overall,1000,4,1,nasus|sion|vex|xerath,"Nasus, Sion, Vex, Xerath",0.538921117295884,0.5498983597863086
16.05,16.06,shrink_overall,1000,4,2,sion|veigar|vex|xerath,"Sion, Veigar, Vex, Xerath",0.5386925652126789,0.5444707684831092
16.05,16.06,shrink_overall,1000,4,3,malzahar|sion|vex|xerath,"Malzahar, Sion, Vex, Xerath",0.5384990327819781,0.5441106379002553
16.05,16.06,shrink_overall,1000,4,4,aurelionsol|sion|vex|xerath,"Aurelion Sol, Sion, Vex, Xerath",0.5381428027132646,0.5456767152383313
16.05,16.06,shrink_overall,1000,4,5,mel|sion|vex|xerath,"Mel, Sion, Vex, Xerath",0.5381125180956419,0.5441564961736527
16.05,16.06,shrink_overall,1000,4,6,morgana|sion|vex|xerath,"Morgana, Sion, Vex, Xerath",0.5380298462839872,0.5463656305825512
16.05,16.06,shrink_overall,1000,4,7,ahri|sion|vex|xerath,"Ahri, Sion, Vex, Xerath",0.5379156097426983,0.5433070193016561
16.05,16.06,shrink_overall,1000,4,8,annie|sion|vex|xerath,"Annie, Sion, Vex, Xerath",0.5378178024934678,0.54466025549267
16.05,16.06,shrink_overall,1000,4,9,fizz|sion|vex|xerath,"Fizz, Sion, Vex, Xerath",0.5378112360574363,0.5454265220885021
16.05,16.06,shrink_overall,1000,4,10,aurelionsol|nasus|sion|vex,"Aurelion Sol, Nasus, Sion, Vex",0.5377980325361111,0.5488944952904397
