champion,enemy_champion,games,wins,losses,raw_winrate,prior_mean,prior_strength,posterior_alpha,posterior_beta,posterior_mean,posterior_sd,posterior_lower_5,posterior_upper_95
Malphite,Malzahar,340.0,160.00400000000002,179.99599999999998,0.4706000000000001,0.49997400485652904,100.0,210.00140048565294,229.99859951434706,0.47727591019466575,0.02378492137209863,0.4382056316562943,0.5164637777245896
Malphite,Talon,320.0,182.016,137.984,0.5688,0.49997400485652904,100.0,232.01340048565288,187.9865995143471,0.5524128582991735,0.02423425327002273,0.5124026116063916,0.5921389569998445
Malphite,Qiyana,307.0,167.008,139.992,0.544,0.49997400485652904,100.0,217.0054004856529,189.99459951434707,0.5331828021760513,0.024699115926453616,0.49245652936466255,0.5737234254353851
Malphite,Mel,289.0,136.986,152.014,0.474,0.49997400485652904,100.0,186.9834004856529,202.0165995143471,0.48067712207108715,0.025299570604876663,0.4391119254027749,0.5223554348985155
Malphite,Veigar,267.0,119.00189999999999,147.99810000000002,0.4457,0.49997400485652904,100.0,168.9993004856529,198.0006995143471,0.4604885571816155,0.02598279352713905,0.4178651890552213,0.5033571103312338
Malphite,Fizz,267.0,132.9927,134.0073,0.49810000000000004,0.49997400485652904,100.0,182.99010048565293,184.00989951434707,0.49861062802630224,0.026064201130256703,0.45573469976019737,0.5414951779586512
Malphite,Naafiri,263.0,162.008,100.99199999999999,0.616,0.49997400485652904,100.0,212.0054004856529,150.99459951434707,0.5840369159384378,0.025834309155834213,0.5412728057189847,0.6262737943335985
Malphite,Xerath,250.0,121.0,129.0,0.484,0.49997400485652904,100.0,170.99740048565292,179.00259951434708,0.48856400138757977,0.026681044090833998,0.4447057739959329,0.5324966463513181
Malphite,Lissandra,234.0,123.99660000000002,110.00339999999998,0.5299,0.49997400485652904,100.0,173.99400048565292,160.00599951434708,0.5209401212145297,0.02729395052560351,0.47596458128819136,0.5657728593320592
Malphite,Syndra,204.0,107.99759999999999,96.00240000000001,0.5294,0.49997400485652904,100.0,157.9950004856529,146.0049995143471,0.5197203963343845,0.028607640041585062,0.47258009579442534,0.5667129181650323
Malphite,LeBlanc,201.0,97.0026,103.9974,0.48260000000000003,0.49997400485652904,100.0,147.0000004856529,153.99999951434708,0.48837209463672054,0.028763985473517696,0.44109227663455514,0.535739918735005
Malphite,Twisted Fate,199.0,88.9928,110.0072,0.4472,0.49997400485652904,100.0,138.9902004856529,160.0097995143471,0.46485016884833746,0.02879609286980959,0.4176076907787309,0.5123604611070824
Malphite,Lux,198.0,104.9994,93.0006,0.5303,0.49997400485652904,100.0,154.9968004856529,143.0031995143471,0.5201234915625936,0.028892317959647543,0.47251158232063345,0.5675815597405489
Malphite,Diana,198.0,93.9906,104.0094,0.4747,0.49997400485652904,100.0,143.9880004856529,154.01199951434708,0.48318120968339895,0.02889938307498396,0.43569884846033125,0.5307921480731557
Malphite,Ryze,166.0,82.004,83.996,0.49400000000000005,0.49997400485652904,100.0,132.0014004856529,133.9985995143471,0.496245866487417,0.030598640546628197,0.4459180853433745,0.5466058070149866
Malphite,Aurora,163.0,74.99629999999999,88.00370000000001,0.46009999999999995,0.49997400485652904,100.0,124.9937004856529,138.0062995143471,0.47526121857662695,0.0307351832185215,0.4247999446164693,0.5259368365200445
Malphite,Hwei,161.0,68.0064,92.9936,0.4224,0.49997400485652904,100.0,118.0038004856529,142.9961995143471,0.45212184094119884,0.030748157139908968,0.4017415825133349,0.502920112537622
Malphite,Galio,158.0,86.9948,71.0052,0.5506,0.49997400485652904,100.0,136.99220048565292,121.00779951434708,0.5309775212622206,0.031008803904700805,0.4798219570988193,0.5818594752145905
Malphite,Orianna,158.0,82.00200000000001,75.99799999999999,0.519,0.49997400485652904,100.0,131.99940048565293,126.00059951434707,0.5116255832777246,0.03106008909219153,0.46047079022379717,0.5626776926071759
Malphite,Vladimir,149.0,61.9989,87.00110000000001,0.41609999999999997,0.49997400485652904,100.0,111.99630048565291,137.0036995143471,0.4497843392998109,0.031462891629374656,0.3982484027960879,0.5017798707747912
Malphite,Anivia,147.0,70.00139999999999,76.99860000000001,0.47619999999999996,0.49997400485652904,100.0,119.9988004856529,127.00119951434709,0.4858251031807809,0.03173727026369763,0.4336722741981646,0.5381087206572157
Malphite,Zoe,142.0,75.9984,66.0016,0.5352,0.49997400485652904,100.0,125.99580048565291,116.00419951434708,0.5206438036597227,0.03204766469220667,0.46781745843871825,0.5732757292932462
Malphite,Vex,142.0,73.9962,68.0038,0.5211,0.49997400485652904,100.0,123.9936004856529,118.0063995143471,0.5123702499407145,0.03206519701698851,0.4595539037675835,0.5650700952343822
Malphite,Ekko,135.0,65.0025,69.9975,0.4815,0.49997400485652904,100.0,114.9999004856529,120.00009951434708,0.4893612786623528,0.032539859364981834,0.4358733218807062,0.5429524203858804
Malphite,Aurelion Sol,133.0,58.0013,74.9987,0.4361,0.49997400485652904,100.0,107.9987004856529,125.0012995143471,0.4635137359899266,0.03259887999089277,0.41005594049574406,0.5173284546229489
Malphite,Annie,104.0,58.00080000000001,45.99919999999999,0.5577000000000001,0.49997400485652904,100.0,107.99820048565292,96.00179951434708,0.5294029435571221,0.03486108088596002,0.47187770045255933,0.5865995590363347
Malphite,Azir,89.0,50.0002,38.9998,0.5618,0.49997400485652904,100.0,99.9976004856529,89.00239951434709,0.5290878332574227,0.036212377787624254,0.46932640661574165,0.5884982793023976
Malphite,Kassadin,78.0,33.0018,44.9982,0.42310000000000003,0.49997400485652904,100.0,82.9992004856529,95.00079951434708,0.46628764317782534,0.03728671015490567,0.40514879046140523,0.5278584898453489
Malphite,Smolder,70.0,38.997,31.003,0.5571,0.49997400485652904,100.0,88.9944004856529,81.0055995143471,0.523496473445017,0.03819371337202156,0.4604900024185714,0.5861876439156325
Malphite,Cassiopeia,66.0,29.997,36.003,0.4545,0.49997400485652904,100.0,79.9944004856529,86.0055995143471,0.48189397882923435,0.038665785212407086,0.418392004334106,0.5456447927559718
Malphite,Jayce,66.0,31.996799999999997,34.00320000000001,0.48479999999999995,0.49997400485652904,100.0,81.9942004856529,84.0057995143471,0.49394096678104155,0.03868832067156621,0.43031891253510773,0.557646293255163
Malphite,Brand,65.0,29.9975,35.0025,0.46149999999999997,0.49997400485652904,100.0,79.9949004856529,85.00509951434708,0.4848175787009267,0.03878963143066833,0.4210921253792813,0.5487529598585226
Malphite,Pantheon,59.0,34.998799999999996,24.001200000000004,0.5932,0.49997400485652904,100.0,84.9962004856529,74.0037995143471,0.5345672986519051,0.039433892613454195,0.4694284442688932,0.5992100958083946
Malphite,Sion,58.0,19.9984,38.001599999999996,0.3448,0.49997400485652904,100.0,69.99580048565291,88.00419951434708,0.44301139547881585,0.039394177885667285,0.37859888629325944,0.5082469021187753
Malphite,Nasus,56.0,24.9984,31.0016,0.4464,0.49997400485652904,100.0,74.99580048565291,81.00419951434709,0.48074231080546737,0.03987473550074102,0.4152657162324883,0.5465005963909445
Malphite,Ziggs,55.0,23.001,31.999,0.4182,0.49997400485652904,100.0,72.99840048565291,82.00159951434709,0.47095742248808325,0.039964449642171905,0.4054063364067075,0.5369360766229501
Malphite,Vel'Koz,51.0,25.0002,25.9998,0.49019999999999997,0.49997400485652904,100.0,74.9976004856529,76.00239951434709,0.49667285089836355,0.04055445738358091,0.4299607646234894,0.5634352221989014
Malphite,Taliyah,50.0,14.000000000000002,36.0,0.28,0.49997400485652904,100.0,63.9974004856529,86.00259951434708,0.42664933657101933,0.04024919728330639,0.36097685274130453,0.49343778969200836
Malphite,Swain,49.0,23.0006,25.9994,0.4694,0.49997400485652904,100.0,72.99800048565291,76.00199951434709,0.48991946634666383,0.04081653119682955,0.4228278434158002,0.5571654941202264
Malphite,Cho'Gath,44.0,22.0,22.0,0.5,0.49997400485652904,100.0,71.9974004856529,72.00259951434708,0.49998194781703403,0.04152273989980701,0.43164995427945946,0.5683142274988282
Malphite,Morgana,36.0,18.0,18.0,0.5,0.49997400485652904,100.0,67.9974004856529,68.00259951434708,0.49998088592391843,0.042717882854624266,0.4296802029380539,0.5702818897777873
Aurora,Ahri,3992.0,1906.1799999999998,2085.82,0.4775,0.49997400485652904,100.0,1956.1774004856527,2135.822599514347,0.47804921810499823,0.0078078275040692514,0.46521235713276476,0.4908982794516922
Aurora,Viktor,2272.0,1133.0464,1138.9536,0.4987,0.49997400485652904,100.0,1183.0438004856528,1188.9561995143472,0.4987537101541538,0.010264074274725192,0.48187088544150075,0.5156377299681766
Aurora,Yasuo,2230.0,1133.9550000000002,1096.0449999999998,0.5085000000000001,0.49997400485652904,100.0,1183.952400485653,1146.047599514347,0.5081340774616536,0.010354792281933709,0.49109745385404296,0.52516276044721
Aurora,Akali,1934.0,967.9669999999999,966.0330000000001,0.5005,0.49997400485652904,100.0,1017.9644004856527,1016.0355995143473,0.5004741398651193,0.011083772479578449,0.48224203372228397,0.5187057157681674
Aurora,Sylas,1809.0,920.9619,888.0381,0.5091,0.49997400485652904,100.0,970.9593004856529,938.0406995143471,0.5086219489186238,0.01143901796202457,0.48980058028917817,0.5274330439201041
Aurora,Malzahar,1744.0,869.0351999999999,874.9648000000001,0.49829999999999997,0.49997400485652904,100.0,919.0326004856528,924.9673995143472,0.4983907811744321,0.01164044464117761,0.47924418458578477,0.5175393628651659
Aurora,Mel,1719.0,851.9364,867.0636,0.49560000000000004,0.49997400485652904,100.0,901.9338004856529,917.0661995143471,0.4958404620591825,0.011719775207032003,0.4765649711936965,0.5151211545946142
Aurora,Xerath,1680.0,828.072,851.928,0.4929,0.49997400485652904,100.0,878.0694004856529,901.9305995143471,0.4932974160031758,0.011846744444797955,0.4738147362858357,0.5127886612749657
Aurora,Zed,1642.0,806.0578,835.9422,0.4909,0.49997400485652904,100.0,856.0552004856529,885.9447995143471,0.4914208958011785,0.011974499558858794,0.47172937064331394,0.5111236238439394
Aurora,Katarina,1586.0,773.968,812.032,0.488,0.49997400485652904,100.0,823.9654004856528,862.0345995143472,0.4887102019487858,0.012170312360005736,0.46869856802865384,0.5087370682971029
