champion_name,champion_id,champion_key,icon_filename,local_path,ddragon_version,source_url
Maokai,Maokai,57,Maokai.png,assets/champion_icons/Maokai.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Maokai.png
Master Yi,MasterYi,11,MasterYi.png,assets/champion_icons/MasterYi.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/MasterYi.png
Mel,Mel,800,Mel.png,assets/champion_icons/Mel.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Mel.png
Milio,Milio,902,Milio.png,assets/champion_icons/Milio.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Milio.png
Miss Fortune,MissFortune,21,MissFortune.png,assets/champion_icons/MissFortune.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/MissFortune.png
Mordekaiser,Mordekaiser,82,Mordekaiser.png,assets/champion_icons/Mordekaiser.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Mordekaiser.png
Morgana,Morgana,25,Morgana.png,assets/champion_icons/Morgana.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Morgana.png
Naafiri,Naafiri,950,Naafiri.png,assets/champion_icons/Naafiri.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Naafiri.png
Nami,Nami,267,Nami.png,assets/champion_icons/Nami.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nami.png
Nasus,Nasus,75,Nasus.png,assets/champion_icons/Nasus.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nasus.png
Nautilus,Nautilus,111,Nautilus.png,assets/champion_icons/Nautilus.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nautilus.png
Neeko,Neeko,518,Neeko.png,assets/champion_icons/Neeko.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Neeko.png
Nidalee,Nidalee,76,Nidalee.png,assets/champion_icons/Nidalee.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nidalee.png
Nilah,Nilah,895,Nilah.png,assets/champion_icons/Nilah.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nilah.png
Nocturne,Nocturne,56,Nocturne.png,assets/champion_icons/Nocturne.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nocturne.png
Nunu & Willump,Nunu,20,Nunu.png,assets/champion_icons/Nunu.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Nunu.png
Olaf,Olaf,2,Olaf.png,assets/champion_icons/Olaf.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Olaf.png
Orianna,Orianna,61,Orianna.png,assets/champion_icons/Orianna.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Orianna.png
Ornn,Ornn,516,Ornn.png,assets/champion_icons/Ornn.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Ornn.png
Pantheon,Pantheon,80,Pantheon.png,assets/champion_icons/Pantheon.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Pantheon.png
Poppy,Poppy,78,Poppy.png,assets/champion_icons/Poppy.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Poppy.png
Pyke,Pyke,555,Pyke.png,assets/champion_icons/Pyke.png,16.9.1,https://ddragon.leagueoflegends.com/cdn/16.9.1/img/champion/Pyke.png
