pool_rank,pool,pool_score,champion,covered_enemy_count,enemy_frequency_mass_covered,total_contribution,excess_contribution_over_50,total_marginal_lift,top5_marginal_lift_share,effective_matchups,median_matchup_games,min_matchup_games
74,"Aurelion Sol, Diana, Sion",0.5375382485970447,Aurelion Sol,18,0.26160912158370137,0.13997734742690857,0.009172786635057908,0.005135030208025322,0.7043406304447317,8.572625177624966,606.5,149.0
74,"Aurelion Sol, Diana, Sion",0.5375382485970447,Diana,12,0.26355867157438434,0.1387795930869189,0.0070002572997267315,0.005586059973851573,0.853306722822868,3.9623189048529674,939.5,154.0
74,"Aurelion Sol, Diana, Sion",0.5375382485970447,Sion,22,0.4748322068419144,0.2587813080832173,0.0213652046622601,0.013384155717995314,0.670353369194996,8.053805117643996,255.5,38.0
75,"Diana, Sion, Xerath",0.5375162313787483,Diana,12,0.2576500857446014,0.13564361576182735,0.006818572889526624,0.0033081852332551335,0.8895638328686387,5.403711958673797,1016.0,154.0
75,"Diana, Sion, Xerath",0.5375162313787483,Sion,23,0.4840616024378275,0.2633951107056347,0.021364309486720943,0.014097594898416728,0.6754173397766806,8.082620505610299,253.0,38.0
75,"Diana, Sion, Xerath",0.5375162313787483,Xerath,17,0.2582883118175711,0.1384775049112863,0.009333349002500732,0.005113012989728884,0.6429081681931476,9.579101674951024,1432.0,228.0
76,"Katarina, Sion, Xerath",0.5375003498267886,Katarina,11,0.22135220380516407,0.11607715141700141,0.005401049514419362,0.003292303681295414,0.7560956281180047,5.578863754567371,1573.0,357.0
76,"Katarina, Sion, Xerath",0.5375003498267886,Sion,25,0.5663048599262683,0.3069396592073828,0.023787229244248705,0.01835568213356842,0.5548727550209022,11.44185478126815,266.0,38.0
76,"Katarina, Sion, Xerath",0.5375003498267886,Xerath,16,0.2123429362685677,0.11448353920240437,0.008312071068120517,0.004039582578813081,0.7090667667306123,8.448680309750198,954.5,228.0
77,"Akshan, Fizz, Sion",0.5374835484818701,Akshan,12,0.23760644517521787,0.12609265882110388,0.00728943623349491,0.0035930755947677718,0.7969138369269577,5.809075486394587,674.0,120.0
77,"Akshan, Fizz, Sion",0.5374835484818701,Fizz,13,0.17643590877108598,0.09489224841325462,0.006674294027711654,0.0033646399886777694,0.6795059890850296,7.972190086751672,886.0,260.0
77,"Akshan, Fizz, Sion",0.5374835484818701,Sion,27,0.5859576460536963,0.3164986412475116,0.023519818220663527,0.0181383852173399,0.5547382949653676,11.764779898351609,266.0,58.0
78,"Katarina, Morgana, Sion",0.5374752022636506,Katarina,14,0.23351845643008223,0.12338617950775001,0.006626951292708895,0.007671643349321423,0.8052332607768482,6.445264815482282,832.0,251.0
