alpha,prior_mean,champion,best_pool,best_pool_score,best_pool_member,top_pool_appearances,top_pool_share,best_rank
50.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.5462958377316645,False,16,0.16,6.0
50.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.5462958377316645,False,6,0.06,14.0
50.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.5462958377316645,False,5,0.05,12.0
50.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.5462958377316645,False,16,0.16,2.0
50.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.5462958377316645,False,2,0.02,10.0
50.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,73.0
50.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.5462958377316645,False,2,0.02,11.0
50.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,36.0
50.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.5462958377316645,False,10,0.1,4.0
50.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,13.0
50.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,25.0
50.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,69.0
50.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,46.0
50.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.5462958377316645,False,8,0.08,5.0
50.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,17.0
50.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,57.0
50.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,43.0
50.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,55.0
50.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Xerath",0.5462958377316645,False,4,0.04,24.0
50.0,0.49997400485652904,Mel,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,66.0
50.0,0.49997400485652904,Morgana,"Pantheon, Sion, Xerath",0.5462958377316645,False,8,0.08,18.0
50.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Xerath",0.5462958377316645,False,3,0.03,9.0
50.0,0.49997400485652904,Nasus,"Pantheon, Sion, Xerath",0.5462958377316645,False,10,0.1,7.0
50.0,0.49997400485652904,Orianna,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Xerath",0.5462958377316645,True,38,0.38,1.0
50.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,22.0
50.0,0.49997400485652904,Ryze,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Sion,"Pantheon, Sion, Xerath",0.5462958377316645,True,98,0.98,1.0
50.0,0.49997400485652904,Smolder,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Swain,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,8.0
50.0,0.49997400485652904,Sylas,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Syndra,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,68.0
50.0,0.49997400485652904,Taliyah,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Talon,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Twisted Fate,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,62.0
50.0,0.49997400485652904,Veigar,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,21.0
50.0,0.49997400485652904,Vel'Koz,"Pantheon, Sion, Xerath",0.5462958377316645,False,15,0.15,3.0
50.0,0.49997400485652904,Vex,"Pantheon, Sion, Xerath",0.5462958377316645,False,7,0.07,15.0
50.0,0.49997400485652904,Viktor,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,26.0
50.0,0.49997400485652904,Vladimir,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Xerath,"Pantheon, Sion, Xerath",0.5462958377316645,True,15,0.15,1.0
50.0,0.49997400485652904,Yasuo,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,94.0
50.0,0.49997400485652904,Yone,"Pantheon, Sion, Xerath",0.5462958377316645,False,0,0.0,
50.0,0.49997400485652904,Zed,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,47.0
50.0,0.49997400485652904,Ziggs,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,31.0
50.0,0.49997400485652904,Zoe,"Pantheon, Sion, Xerath",0.5462958377316645,False,1,0.01,86.0
100.0,0.49997400485652904,Ahri,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akali,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Akshan,"Pantheon, Sion, Xerath",0.5423093552212241,False,17,0.17,6.0
100.0,0.49997400485652904,Anivia,"Pantheon, Sion, Xerath",0.5423093552212241,False,7,0.07,14.0
100.0,0.49997400485652904,Annie,"Pantheon, Sion, Xerath",0.5423093552212241,False,5,0.05,15.0
100.0,0.49997400485652904,Aurelion Sol,"Pantheon, Sion, Xerath",0.5423093552212241,False,17,0.17,2.0
100.0,0.49997400485652904,Aurora,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Azir,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Brand,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,24.0
100.0,0.49997400485652904,Cassiopeia,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Cho'Gath,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Diana,"Pantheon, Sion, Xerath",0.5423093552212241,False,3,0.03,12.0
100.0,0.49997400485652904,Ekko,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,52.0
100.0,0.49997400485652904,Fizz,"Pantheon, Sion, Xerath",0.5423093552212241,False,12,0.12,4.0
100.0,0.49997400485652904,Galio,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Hwei,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,13.0
100.0,0.49997400485652904,Irelia,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,40.0
100.0,0.49997400485652904,Jayce,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Kassadin,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,67.0
100.0,0.49997400485652904,Katarina,"Pantheon, Sion, Xerath",0.5423093552212241,False,11,0.11,5.0
100.0,0.49997400485652904,LeBlanc,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,30.0
100.0,0.49997400485652904,Lissandra,"Pantheon, Sion, Xerath",0.5423093552212241,False,3,0.03,46.0
100.0,0.49997400485652904,Lux,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,62.0
100.0,0.49997400485652904,Malphite,"Pantheon, Sion, Xerath",0.5423093552212241,False,4,0.04,83.0
100.0,0.49997400485652904,Malzahar,"Pantheon, Sion, Xerath",0.5423093552212241,False,7,0.07,20.0
100.0,0.49997400485652904,Mel,"Pantheon, Sion, Xerath",0.5423093552212241,False,1,0.01,92.0
100.0,0.49997400485652904,Morgana,"Pantheon, Sion, Xerath",0.5423093552212241,False,6,0.06,33.0
100.0,0.49997400485652904,Naafiri,"Pantheon, Sion, Xerath",0.5423093552212241,False,4,0.04,10.0
100.0,0.49997400485652904,Nasus,"Pantheon, Sion, Xerath",0.5423093552212241,False,6,0.06,21.0
100.0,0.49997400485652904,Orianna,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Pantheon,"Pantheon, Sion, Xerath",0.5423093552212241,True,31,0.31,1.0
100.0,0.49997400485652904,Qiyana,"Pantheon, Sion, Xerath",0.5423093552212241,False,2,0.02,37.0
100.0,0.49997400485652904,Ryze,"Pantheon, Sion, Xerath",0.5423093552212241,False,0,0.0,
100.0,0.49997400485652904,Sion,"Pantheon, Sion, Xerath",0.5423093552212241,True,99,0.99,1.0
