pool,pool_size,simulation_mode,mean_score,median_score,sd_score,lower_5_score,upper_95_score,probability_of_being_best,point_estimate_rank_source
"Katarina, Sion, Veigar",3,fixed-policy,0.5375483858290998,0.5375448785892407,0.002813093609250531,0.5329058522374652,0.5421811016442761,0.0004,top_100_deterministic_eb
"Nasus, Pantheon, Xerath",3,fixed-policy,0.537545807751812,0.5375441544096908,0.0032288291209065343,0.5322236329784787,0.5427686076074075,0.0378,top_100_deterministic_eb
"Pantheon, Sion, Zed",3,fixed-policy,0.5375327478715579,0.5375565910954561,0.003309704889936526,0.5321012994498707,0.5428616969250923,0.0,top_100_deterministic_eb
"Katarina, Sion, Vex",3,fixed-policy,0.5375146522296144,0.5374817574902672,0.002775686565053852,0.5329307178446889,0.541985423394177,0.0004,top_100_deterministic_eb
"Aurelion Sol, Diana, Sion",3,fixed-policy,0.5374479096627143,0.53745966510013,0.002829041634762732,0.5327416610711573,0.5421684883104071,0.0008,top_100_deterministic_eb
"Diana, Sion, Xerath",3,fixed-policy,0.5374301796873542,0.5374153675784072,0.0027755550357191866,0.532878646685608,0.5420290861069519,0.0004,top_100_deterministic_eb
"Katarina, Sion, Xerath",3,fixed-policy,0.5374252478905134,0.5373984024547261,0.002876007529517667,0.5327953378020371,0.5421324273604626,0.0,top_100_deterministic_eb
"Akshan, Fizz, Sion",3,fixed-policy,0.5374133464847196,0.5374160993852645,0.0030725741664624977,0.532266255027885,0.5423946810977467,0.0008,top_100_deterministic_eb
"Fizz, Morgana, Sion",3,fixed-policy,0.5374033863486422,0.5374063375924854,0.003310641558077048,0.5319226761754559,0.542783732429331,0.0038,top_100_deterministic_eb
"Katarina, Morgana, Sion",3,fixed-policy,0.537401284086733,0.5373668861273662,0.003254904571776505,0.5321502742264962,0.5427797184520486,0.0032,top_100_deterministic_eb
"Anivia, Sion, Vel'Koz",3,fixed-policy,0.537370532198894,0.5373684911251011,0.003074181275834465,0.5323659992396069,0.5424596750661739,0.0018,top_100_deterministic_eb
"Malphite, Pantheon, Sion",3,fixed-policy,0.5373076455876123,0.5373253348329751,0.0037080889839260253,0.5311762134190697,0.5433706574210637,0.0074,top_100_deterministic_eb
"Akshan, Katarina, Sion",3,fixed-policy,0.5372815365476282,0.5372929651706099,0.0031025069237730993,0.5321690855986555,0.5424619490058292,0.0,top_100_deterministic_eb
"Akshan, Malphite, Sion",3,fixed-policy,0.53727997492899,0.5372277597975919,0.003309605089358212,0.5318467883050029,0.5428145546897134,0.0054,top_100_deterministic_eb
"Katarina, Malzahar, Sion",3,fixed-policy,0.537275373933226,0.5372968326378325,0.002767114394578214,0.5327772421700809,0.5418565623275772,0.0,top_100_deterministic_eb
"Malphite, Sion, Xerath",3,fixed-policy,0.5372744281980001,0.5372479377727817,0.0029493118841517098,0.532477327202427,0.542231919843147,0.0014,top_100_deterministic_eb
"Pantheon, Sion, Twisted Fate",3,fixed-policy,0.537262579243417,0.5372745374878827,0.0033368629014021538,0.5317228803294333,0.5426300983631249,0.0,top_100_deterministic_eb
"Anivia, Fizz, Sion",3,fixed-policy,0.5371756053305178,0.5371486251303992,0.0029157901454079276,0.5323582080525527,0.5420150545373571,0.0002,top_100_deterministic_eb
"Aurelion Sol, Sion, Vel'Koz",3,fixed-policy,0.5371670698482298,0.5371880326642793,0.003136703362377864,0.5319751746786052,0.5423171087956967,0.0018,top_100_deterministic_eb
"Katarina, Sion, Vel'Koz",3,fixed-policy,0.537157776062923,0.5371838491097808,0.0030991537192762214,0.5320625201279446,0.5421798729805279,0.0008,top_100_deterministic_eb
"Annie, Naafiri, Sion",3,fixed-policy,0.5371254384624167,0.5370781366441781,0.0030406970169291176,0.5321701167396512,0.5421173026738038,0.002,top_100_deterministic_eb
"Aurelion Sol, Lux, Sion",3,fixed-policy,0.5371242690665197,0.5371143660263051,0.00276655161753486,0.5326787948132207,0.5417100943209009,0.0,top_100_deterministic_eb
"Aurelion Sol, Qiyana, Sion",3,fixed-policy,0.5370902461489987,0.5370897241952557,0.003065495380224095,0.53208074526069,0.5421060346577131,0.0002,top_100_deterministic_eb
"Mel, Pantheon, Sion",3,fixed-policy,0.537063922734156,0.5371578395066172,0.003444420823287852,0.5313430442603324,0.5426887107953636,0.0,top_100_deterministic_eb
"Akshan, Brand, Sion",3,fixed-policy,0.5370439473044746,0.5370586566945186,0.0031927955022529077,0.531759556481254,0.5422218567606976,0.0024,top_100_deterministic_eb
"Anivia, Morgana, Sion",3,fixed-policy,0.5370436815817055,0.5370307176433046,0.0032230814613489907,0.531700864081192,0.5423082561455104,0.0052,top_100_deterministic_eb
"Sion, Veigar, Vel'Koz",3,fixed-policy,0.5370422363671792,0.5370144012186708,0.0029320359501073066,0.5323407398601904,0.5417989789961192,0.0006,top_100_deterministic_eb
"Katarina, Nasus, Sion",3,fixed-policy,0.5370348882539789,0.5370362742573394,0.003283886048925305,0.5316304324452694,0.5424114837933128,0.0036,top_100_deterministic_eb
"Aurelion Sol, Malphite, Sion",3,fixed-policy,0.5370240243660814,0.5370268656363677,0.00335241223913309,0.5315308045172286,0.5425619970768356,0.0062,top_100_deterministic_eb
"Akshan, Hwei, Sion",3,fixed-policy,0.5370165560803293,0.5370817454989745,0.002999207460603132,0.532022660109508,0.5418575823713296,0.0004,top_100_deterministic_eb
"Annie, Sion, Vel'Koz",3,fixed-policy,0.5369329281416884,0.5368933207212321,0.0031533544707854004,0.5318345567694567,0.5420856648138126,0.001,top_100_deterministic_eb
"Pantheon, Sion, Vel'Koz",3,oracle,0.5470933595308233,0.5471156850691101,0.003055426216078851,0.5420990434894231,0.5520688263514667,0.1738,top_100_deterministic_eb
"Pantheon, Sion, Xerath",3,oracle,0.5469331373889087,0.5469278603522443,0.0027338463261282913,0.5423229225328476,0.5514812033380229,0.074,top_100_deterministic_eb
"Aurelion Sol, Pantheon, Sion",3,oracle,0.5468743829994425,0.5468746725834013,0.002830617847662198,0.54219498307876,0.5515801198511068,0.0978,top_100_deterministic_eb
"Nasus, Pantheon, Sion",3,oracle,0.5468044841864856,0.5468061534121493,0.003244637993629031,0.5414528226282982,0.5521354891081771,0.1682,top_100_deterministic_eb
"Morgana, Pantheon, Sion",3,oracle,0.5460689206345188,0.5460576761570952,0.0031245642274922362,0.5408837680303992,0.5512118434239544,0.0724,top_100_deterministic_eb
"Pantheon, Sion, Swain",3,oracle,0.5457860793722398,0.5457965949187125,0.0031461329200833774,0.5406355444214973,0.5509878138010547,0.0428,top_100_deterministic_eb
"Fizz, Pantheon, Sion",3,oracle,0.5457579527884858,0.5457283641778949,0.0028307986053556257,0.5410361684656817,0.55042159069845,0.0106,top_100_deterministic_eb
"Akshan, Pantheon, Sion",3,oracle,0.5456910223761606,0.5456937613182596,0.0029633498027512575,0.5408034199510255,0.550523053034953,0.0198,top_100_deterministic_eb
"Naafiri, Pantheon, Sion",3,oracle,0.5454602286717257,0.5454948144347238,0.002928309078224309,0.5405891075607365,0.5500995562324481,0.021,top_100_deterministic_eb
"Annie, Pantheon, Sion",3,oracle,0.5452452134497525,0.5452182607912153,0.0028840960081068564,0.5404710666317094,0.5499029052475307,0.0098,top_100_deterministic_eb
"Diana, Pantheon, Sion",3,oracle,0.5451550684729345,0.5451749759046853,0.0028677708935969156,0.5404390047257365,0.5498452598836886,0.0044,top_100_deterministic_eb
"Akshan, Nasus, Sion",3,oracle,0.5450515390766077,0.5450088218091584,0.002937242250084353,0.5403485825950894,0.5499169908705004,0.0436,top_100_deterministic_eb
