scope_id,patch,rank_scope,rank_scope_type,champion,top_100_appearances,top_100_inclusion_frequency,best_pool_member,best_pool_rank_with_champion,mean_top_100_rank_with_champion
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Ryze,1,0.01,False,94.0,94.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Sion,92,0.92,True,1.0,50.16304347826087
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Swain,3,0.03,False,9.0,29.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Sylas,1,0.01,False,80.0,80.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Syndra,2,0.02,False,57.0,77.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Taliyah,2,0.02,False,73.0,83.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Talon,1,0.01,False,98.0,98.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Twisted Fate,3,0.03,False,16.0,25.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Veigar,3,0.03,False,27.0,36.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Vel'Koz,3,0.03,False,30.0,35.333333333333336
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Vex,6,0.06,False,2.0,34.5
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Viktor,3,0.03,False,74.0,81.66666666666667
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Vladimir,4,0.04,False,19.0,40.25
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Xerath,55,0.55,True,1.0,51.236363636363635
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Yasuo,1,0.01,False,81.0,81.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Yone,1,0.01,False,66.0,66.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Zed,1,0.01,False,84.0,84.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Ziggs,2,0.02,False,78.0,80.0
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,Zoe,1,0.01,False,89.0,89.0
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Ahri,1,0.01,False,71.0,71.0
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Akali,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Akshan,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Anivia,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Annie,12,0.12,False,5.0,56.833333333333336
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Aurelion Sol,6,0.06,False,52.0,68.5
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Aurora,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Azir,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Brand,3,0.03,False,48.0,55.666666666666664
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Cassiopeia,0,0.0,False,,
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,Cho'Gath,3,0.03,False,77.0,83.33333333333333
