champion,top_pool_appearances,top_pool_share,best_top_pool_rank,mean_top_pool_rank,champion_name_normalized,pickrate,winrate,champion_key,banrate,total_games,lane,patch,elo,source_url,extraction_date,exclusion_score_drop,best_pool_member,best_pool,best_pool_score,scope,rank
Talon,0,0.0,,,talon,0.024700000000000003,0.4915,talon,0.061500000000000006,17094,mid,16.07,emerald_plus,https://op.gg/lol/champions/talon/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Viktor,0,0.0,,,viktor,0.07919999999999999,0.5094,viktor,0.0431,54315,mid,16.07,emerald_plus,https://op.gg/lol/champions/viktor/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Vladimir,0,0.0,,,vladimir,0.030699999999999998,0.5061,vladimir,0.0438,20890,mid,16.07,emerald_plus,https://op.gg/lol/champions/vladimir/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Yasuo,0,0.0,,,yasuo,0.08039999999999999,0.5029,yasuo,0.1887,55021,mid,16.07,emerald_plus,https://op.gg/lol/champions/yasuo/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Yone,0,0.0,,,yone,0.0527,0.4876,yone,0.0464,36054,mid,16.07,emerald_plus,https://op.gg/lol/champions/yone/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Zed,0,0.0,,,zed,0.0674,0.5006,zed,0.2328,46457,mid,16.07,emerald_plus,https://op.gg/lol/champions/zed/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Zoe,0,0.0,,,zoe,0.0355,0.5044,zoe,0.0647,24400,mid,16.07,emerald_plus,https://op.gg/lol/champions/zoe/build/mid?region=global&tier=emerald_plus,2026-04-05,0.0,False,"Ekko, Pantheon, Sion",0.5377908734492037,opgg_emerald_plus_patch_16.07,emerald_plus
Nasus,60,0.6,2.0,47.63333333333333,nasus,0.0055000000000000005,0.5273,nasus,0.055,15228,mid,16.05,plat_plus,https://op.gg/lol/champions/nasus/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0,False,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Sion,59,0.59,1.0,47.610169491525426,sion,0.0087,0.53,sion,0.0115,23987,mid,16.05,plat_plus,https://op.gg/lol/champions/sion/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0010934608943268254,True,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
Xerath,41,0.41,1.0,49.02439024390244,xerath,0.0533,0.5256000000000001,xerath,0.0745,147739,mid,16.05,plat_plus,https://op.gg/lol/champions/xerath/build/mid?region=global&tier=platinum_plus,2026-03-13,0.0005694713761006387,True,"Sion, Vex, Xerath",0.5406507907172773,opgg_plat_plus_patch_16.05,plat_plus
