champion,champion_key,enemy_champion,enemy_key,matchup_games,champion_recorded_matchup_games,champion_summary_total_games,recorded_matchup_coverage,conditional_enemy_frequency,general_enemy_frequency,frequency_delta,expected_matchup_games,enrichment_ratio,enrichment_z,raw_winrate,posterior_mean,posterior_lower_5,posterior_upper_95,posterior_interval_width,champion_matchup_baseline,matchup_advantage,selection_component,best_pool_selected,best_pool_enemy_frequency,best_pool_value,best_alternative_value,best_pool_marginal_lift,best_pool_weighted_value,best_pool_matchup_games,best_pool_posterior_mean,best_pool_posterior_lower_5,best_pool_posterior_upper_95
Ahri,ahri,Malphite,malphite,515.0,167739.0,208625.0,0.8040215698022768,0.003070246036997955,0.005100951414279057,-0.0020307053772811016,855.6284892797547,0.6018967419300324,-11.674783680194176,0.5068,0.5056900820904926,0.4725412581127681,0.5388178476546807,0.06627658954191257,0.5059533300048948,-0.0002632479144022426,5.345789553346692e-07,False,,,,,,,,,
Ahri,ahri,Lissandra,lissandra,4944.0,167739.0,208625.0,0.8040215698022768,0.02947436195518037,0.029975584131851914,-0.0005012221766715445,5028.074506692708,0.9832789855081107,-1.2038493501114185,0.5067,0.5065666535459264,0.4949871199122073,0.518143226325299,0.02315610641309168,0.5059533300048948,0.0006133235410316074,-3.074113602397616e-07,False,,,,,,,,,
Ahri,ahri,Nasus,nasus,525.0,167739.0,208625.0,0.8040215698022768,0.003129862464900828,0.0037312335893027303,-0.0006013711244019023,625.8733910360506,0.8388278005091923,-4.039662837546521,0.5085999999999999,0.5072198407770446,0.47433551056134016,0.5400778789854717,0.0657423684241315,0.5059533300048948,0.001266510772149787,-7.616430071148388e-07,False,,,,,,,,,
Ahri,ahri,Twisted Fate,twistedfate,4285.0,167739.0,208625.0,0.8040215698022768,0.025545639356381045,0.025336105003705683,0.00020953435267536194,4249.852917216587,1.0082701880436915,0.5461034184448553,0.5015,0.5014651996546529,0.48904634197446273,0.5138832973897473,0.024836955415284523,0.5059533300048948,-0.004488130350241981,-9.40417487660599e-07,False,,,,,,,,,
Ahri,ahri,Ziggs,ziggs,775.0,167739.0,208625.0,0.8040215698022768,0.004620273162472651,0.005464559083151594,-0.000844285920678943,916.6196760487652,0.8454978877834706,-4.690497154168856,0.5084000000000001,0.5074370291264605,0.47964088965923674,0.5352138284064618,0.055572938747225076,0.5059533300048948,0.0014836991215656514,-1.2526662788615949e-06,False,,,,,,,,,
Ahri,ahri,Cassiopeia,cassiopeia,1179.0,167739.0,208625.0,0.8040215698022768,0.007028776849748717,0.007626477446267239,-0.0005977005965185217,1279.2577003594204,0.9216282221078271,-2.8138512458406284,0.5089,0.5082021114039507,0.4852090678469304,0.531180565479062,0.0459714976321316,0.5059533300048948,0.0022487813990558214,-1.3440979836554203e-06,False,,,,,,,,,
Ahri,ahri,Brand,brand,1183.0,167739.0,208625.0,0.8040215698022768,0.007052623420909866,0.006466414255896219,0.0005862091650136467,1084.669860869776,1.0906544402841387,2.995343205354652,0.5038,0.5035017930519508,0.48054624742629787,0.526451129300781,0.045904881874483106,0.5059533300048948,-0.002451536952944089,-1.437113430185454e-06,False,,,,,,,,,
Ahri,ahri,Ekko,ekko,2619.0,167739.0,208625.0,0.8040215698022768,0.015613542467762417,0.0171363652539606,-0.001522822786198183,2874.436771334097,0.9111350182124401,-4.805741459461148,0.5074000000000001,0.5071268850627632,0.491355766578989,0.5228920417341777,0.0315362751551887,0.5059533300048948,0.001173555057868314,-1.7871163829799959e-06,False,,,,,,,,,
Ahri,ahri,Vex,vex,3451.0,167739.0,208625.0,0.8040215698022768,0.020573629269281444,0.019710243369575463,0.0008633858997059811,3306.1765125692186,1.0438039187805612,2.543892476446074,0.5033,0.5032063363800768,0.48940588944385277,0.5170047296684593,0.02759884022460657,0.5059533300048948,-0.002746993624818006,-2.3717155622500886e-06,False,,,,,,,,,
Ahri,ahri,Lux,lux,4384.0,167739.0,208625.0,0.8040215698022768,0.026135841992619487,0.023998879778926535,0.0021369622136929514,4025.548095237358,1.0890442484556893,5.718646147727324,0.5047999999999999,0.5046923729896639,0.49241102293673517,0.516971343021824,0.02456032008508885,0.5059533300048948,-0.0012609570152309901,-2.6946174946396735e-06,False,,,,,,,,,
