champion,champion_key,selection_advantage,observed_mix_weighted_advantage,general_mix_weighted_advantage,positive_selection_component,negative_selection_component,mean_absolute_frequency_delta,max_enrichment_ratio,recorded_matchup_games,recorded_matchup_coverage,top_positive_matchups,top_negative_matchups
Ziggs,ziggs,-0.00035148905561053784,2.168404344971009e-17,0.00035148905561055953,0.0015636112122107964,-0.001915100267821334,0.0035031777079351186,1.6793521942475873,14127.0,0.7873265340244107,Mel:0.0004; Yasuo:0.0004; Akali:0.0002; Syndra:0.0001; Hwei:0.0001,Xerath:-0.0004; Ryze:-0.0002; Malzahar:-0.0002; Anivia:-0.0001; Galio:-0.0001
Talon,talon,-0.0003885746128472617,1.1188966420050406e-16,0.0003885746128473736,0.0010778257305711395,-0.001466400343418401,0.0023890579652804697,1.7895757554693752,36830.0,0.7926225627340421,Syndra:0.0002; Akali:0.0002; Kassadin:0.0001; Vel'Koz:0.0001; Aurelion Sol:0.0001,Lissandra:-0.0003; Vex:-0.0002; Xerath:-0.0002; Malphite:-0.0001; Viktor:-0.0001
Ahri,ahri,-0.0004486770036861089,3.144186300207963e-17,0.00044867700368614034,0.0004548662222519099,-0.0009035432259380193,0.0022013153594403656,1.3893236194671388,167739.0,0.8040215698022768,Orianna:0.0001; Sylas:0.0001; Aurora:0.0001; Fizz:0.0000; Yasuo:0.0000,Mel:-0.0003; Yone:-0.0001; Galio:-0.0001; Smolder:-0.0000; Pantheon:-0.0000
Azir,azir,-0.0004550738742778806,-4.7271214720367993e-17,0.00045507387427783336,0.0011289602017700816,-0.0015840340760479616,0.002304039330864371,1.4405800114700498,34489.0,0.8140149637706814,Orianna:0.0003; Yasuo:0.0003; Taliyah:0.0001; Ryze:0.0001; Malzahar:0.0001,Xerath:-0.0006; Hwei:-0.0002; Fizz:-0.0001; Viktor:-0.0001; Aurora:-0.0001
Fizz,fizz,-0.00047196202186311183,2.970713952610282e-17,0.00047196202186314154,0.0008208715073188701,-0.0012928335291819812,0.0024586397509940307,1.4672085119289968,73880.0,0.7772015274724119,Mel:0.0003; Syndra:0.0002; Akali:0.0001; Cassiopeia:0.0000; Xerath:0.0000,Lissandra:-0.0003; Galio:-0.0002; Diana:-0.0001; Smolder:-0.0001; Yone:-0.0001
Anivia,anivia,-0.0004957667846738698,-3.7730235602495554e-17,0.0004957667846738321,0.0006605128746455814,-0.001156279659319451,0.0018543103276440955,1.6570807344637268,50449.0,0.8182201534294565,Ryze:0.0002; Vladimir:0.0001; Lissandra:0.0001; Azir:0.0000; Akshan:0.0000,Xerath:-0.0003; Aurelion Sol:-0.0002; Sylas:-0.0001; Viktor:-0.0001; Vex:-0.0001
Viktor,viktor,-0.000604858006760086,-5.074066167232161e-17,0.0006048580067600352,0.0008539594818507398,-0.0014588174886108257,0.002426590846043041,1.4895032337310112,110592.0,0.8159001372227879,Mel:0.0002; Ryze:0.0001; Akali:0.0001; Fizz:0.0001; Azir:0.0001,Xerath:-0.0007; Yasuo:-0.0002; Katarina:-0.0001; Smolder:-0.0001; Orianna:-0.0001
Qiyana,qiyana,-0.0006821630608752552,-1.1058862159352145e-17,0.0006821630608752441,0.00046027805183674654,-0.0011424411127120017,0.0019362143488119393,2.088204332204316,30353.0,0.8205065823263861,Malzahar:0.0001; Xerath:0.0001; Akali:0.0001; Zed:0.0000; Ryze:0.0000,Malphite:-0.0002; Syndra:-0.0001; Veigar:-0.0001; Yone:-0.0001; Katarina:-0.0001
Mel,mel,-0.0007643713701262194,-8.196568423990414e-17,0.0007643713701261374,0.0016424919257270745,-0.002406863295853295,0.002901668408483006,1.5447816481735366,98143.0,0.7903858388834752,Ahri:0.0010; Zoe:0.0002; Akali:0.0001; Zed:0.0001; Yasuo:0.0001,Xerath:-0.0008; Aurelion Sol:-0.0002; Viktor:-0.0002; Fizz:-0.0001; LeBlanc:-0.0001
Akali,akali,-0.0007826870756867962,7.41594285980085e-17,0.0007826870756868704,0.0010051366653972456,-0.0017878237410840422,0.0029054568840403785,1.6189627536142677,99028.0,0.7882323911711095,Yone:0.0002; Malzahar:0.0002; Sylas:0.0001; Veigar:0.0001; Syndra:0.0001,Lissandra:-0.0003; Galio:-0.0003; Mel:-0.0003; Vex:-0.0001; Xerath:-0.0001
Zoe,zoe,-0.0008126076987202903,-5.681219383824043e-17,0.0008126076987202335,0.0004092802788217676,-0.0012218879775420571,0.0018753182069427999,2.0692293179137446,50580.0,0.8140470595809057,Veigar:0.0000; Malphite:0.0000; Nasus:0.0000; Ahri:0.0000; Aurora:0.0000,Morgana:-0.0002; Mel:-0.0001; Smolder:-0.0001; Naafiri:-0.0001; Sylas:-0.0001
Brand,brand,-0.0008271375808623908,-1.0950441942103595e-17,0.0008271375808623798,0.0006450565642645986,-0.0014721941451269892,0.002152316951235289,1.4357828830615904,16717.0,0.7702266863251014,Irelia:0.0001; Katarina:0.0001; Viktor:0.0001; Mel:0.0001; Swain:0.0001,Lux:-0.0002; Taliyah:-0.0001; Lissandra:-0.0001; Zed:-0.0001; Yasuo:-0.0001
Veigar,veigar,-0.0008335194372992337,1.1622647289044608e-16,0.00083351943729935,0.0005882361185274471,-0.0014217555558266814,0.002021952746701218,1.2702032347563934,70989.0,0.7706311470070996,LeBlanc:0.0001; Zed:0.0001; Mel:0.0001; Qiyana:0.0001; Irelia:0.0000,Galio:-0.0002; Fizz:-0.0001; Sylas:-0.0001; Xerath:-0.0001; Aurelion Sol:-0.0001
Lux,lux,-0.0010696293491201114,6.7220534694101275e-18,0.0010696293491201181,0.0003739784728333789,-0.0014436078219534907,0.0023107569039755105,1.452188944899132,62042.0,0.785103259769184,Sion:0.0001; Malphite:0.0000; Taliyah:0.0000; Malzahar:0.0000; Yasuo:0.0000,Xerath:-0.0003; Sylas:-0.0002; Ryze:-0.0002; Ahri:-0.0001; Yone:-0.0001
Malzahar,malzahar,-0.0012185607081127072,2.5370330836160804e-17,0.0012185607081127326,0.0009112659982617253,-0.002129826706374432,0.0026487393828614177,5.871014643060663,109308.0,0.7774008406409354,LeBlanc:0.0001; Yasuo:0.0001; Annie:0.0001; Fizz:0.0001; Lissandra:0.0001,Sion:-0.0006; Smolder:-0.0003; Sylas:-0.0002; Aurelion Sol:-0.0002; Orianna:-0.0002
Katarina,katarina,-0.0015635112272170898,-3.707971429900425e-17,0.0015635112272170527,0.0005345168535884175,-0.0020980280808055073,0.002550107061752642,1.4734246009734255,97447.0,0.7929869960776654,Viktor:0.0002; Zed:0.0000; Twisted Fate:0.0000; Anivia:0.0000; Kassadin:0.0000,Vex:-0.0003; Orianna:-0.0002; Diana:-0.0002; Lissandra:-0.0002; Syndra:-0.0002
LeBlanc,leblanc,-0.0017203014671230035,5.2258544713801314e-17,0.0017203014671230558,0.00042372125013748603,-0.0021440227172604895,0.002119213477816742,1.7555374244682744,64731.0,0.8035528079845077,Yasuo:0.0001; Mel:0.0001; Galio:0.0001; Ahri:0.0001; Fizz:0.0001,Vex:-0.0007; Malzahar:-0.0003; Yone:-0.0002; Lissandra:-0.0001; Veigar:-0.0001
Yasuo,yasuo,-0.002263003133107749,-1.474514954580286e-17,0.0022630031331077344,0.0006952562584010881,-0.0029582593915088383,0.0033321876011835247,2.2925559325982943,124182.0,0.7622876856120363,Viktor:0.0002; Galio:0.0001; Sion:0.0001; Zed:0.0001; Xerath:0.0001,Lissandra:-0.0006; Pantheon:-0.0003; Annie:-0.0002; Syndra:-0.0002; Mel:-0.0002
Zed,zed,-0.0029960637451085926,-2.1250362580715887e-17,0.0029960637451085714,0.0003808497926389176,-0.003376913537747511,0.0032205003526772614,3.9958859891030536,100910.0,0.7941917204470329,Talon:0.0001; Anivia:0.0001; Yasuo:0.0000; Xerath:0.0000; Malzahar:0.0000,Malphite:-0.0010; Mel:-0.0003; Kassadin:-0.0002; Sion:-0.0002; Galio:-0.0002
