champion_i,champion_i_normalized,champion_j,champion_j_normalized,lane,patch,elo,matchup_winrate_i_vs_j,matchup_games,matchup_occurrence_count,matchup_occurrence_rate,source_url,extraction_date
Xerath,xerath,Cho'Gath,chogath,mid,16.10,emerald_plus,55.71,280,280,,https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=chogath,2026-06-08
Fizz,fizz,Ahri,ahri,mid,16.10,emerald_plus,51.7,6193,6193,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=ahri,2026-06-08
Fizz,fizz,Zed,zed,mid,16.10,emerald_plus,51.84,6038,6038,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=zed,2026-06-08
Fizz,fizz,Viktor,viktor,mid,16.10,emerald_plus,52.3,5185,5185,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=viktor,2026-06-08
Fizz,fizz,Katarina,katarina,mid,16.10,emerald_plus,51.96,4908,4908,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=katarina,2026-06-08
Fizz,fizz,Lissandra,lissandra,mid,16.10,emerald_plus,48.16,4516,4516,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=lissandra,2026-06-08
Fizz,fizz,Malzahar,malzahar,mid,16.10,emerald_plus,54.38,4261,4261,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=malzahar,2026-06-08
Fizz,fizz,Sylas,sylas,mid,16.10,emerald_plus,48.26,4242,4242,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=sylas,2026-06-08
Fizz,fizz,Xerath,xerath,mid,16.10,emerald_plus,52.9,4142,4142,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=xerath,2026-06-08
Fizz,fizz,Yasuo,yasuo,mid,16.10,emerald_plus,52.86,4107,4107,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=yasuo,2026-06-08
Fizz,fizz,Akali,akali,mid,16.10,emerald_plus,49.45,3614,3614,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=akali,2026-06-08
Fizz,fizz,Galio,galio,mid,16.10,emerald_plus,51.05,3136,3136,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=galio,2026-06-08
Fizz,fizz,Twisted Fate,twistedfate,mid,16.10,emerald_plus,50.99,3069,3069,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=twistedfate,2026-06-08
Fizz,fizz,Syndra,syndra,mid,16.10,emerald_plus,56.32,2981,2981,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=syndra,2026-06-08
Fizz,fizz,Vladimir,vladimir,mid,16.10,emerald_plus,50.57,2962,2962,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=vladimir,2026-06-08
Fizz,fizz,Yone,yone,mid,16.10,emerald_plus,52.49,2595,2595,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=yone,2026-06-08
Fizz,fizz,Veigar,veigar,mid,16.10,emerald_plus,53.36,2487,2487,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=veigar,2026-06-08
Fizz,fizz,Diana,diana,mid,16.10,emerald_plus,47.93,2468,2468,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=diana,2026-06-08
Fizz,fizz,Lux,lux,mid,16.10,emerald_plus,52.65,2433,2433,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=lux,2026-06-08
Fizz,fizz,LeBlanc,leblanc,mid,16.10,emerald_plus,50.71,2181,2181,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=leblanc,2026-06-08
Fizz,fizz,Zoe,zoe,mid,16.10,emerald_plus,51.91,2040,2040,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=zoe,2026-06-08
Fizz,fizz,Hwei,hwei,mid,16.10,emerald_plus,54.6,1980,1980,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=hwei,2026-06-08
Fizz,fizz,Mel,mel,mid,16.10,emerald_plus,58.11,1869,1869,,https://op.gg/lol/champions/fizz/counters/mid?region=global&tier=emerald_plus&type=ranked&patch=16.10&target_champion=mel,2026-06-08
