champion_name,champion_name_normalized,lane,patch,rank,population_scope_pickrate,population_scope_depth,pick_rate,breadth,depth,classification,unique_players,total_ranked_games,source_url,extraction_date
Leona,leona,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.0,1.8,0.93,broad,242615,493052,https://lolalytics.com/lol/leona/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lillia,lillia,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.01,0.63,0.87,unpopular,90622,171391,https://lolalytics.com/lol/lillia/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lissandra,lissandra,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,5.1,0.98,1.0,niche,122483,267830,https://lolalytics.com/lol/lissandra/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lucian,lucian,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.17,1.28,0.81,broad,198500,352083,https://lolalytics.com/lol/lucian/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lulu,lulu,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.04,1.58,1.0,popular,197849,432449,https://lolalytics.com/lol/lulu/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Lux,lux,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,4.3,3.73,1.08,popular,432530,1022232,https://lolalytics.com/lol/lux/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Malphite,malphite,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.93,2.47,0.85,broad,364654,676445,https://lolalytics.com/lol/malphite/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Malzahar,malzahar,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,7.66,1.99,1.23,popular,202245,544529,https://lolalytics.com/lol/malzahar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Maokai,maokai,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.02,0.7,0.95,unpopular,92301,191585,https://lolalytics.com/lol/maokai/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
Master Yi,masteryi,mid,16.7,plat_plus,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days,0.14,2.17,1.25,popular,217326,594650,https://lolalytics.com/lol/masteryi/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07
