lambda,champion,best_pool,best_pool_point_score,best_pool_objective_score,best_pool_member,top_pool_appearances,top_pool_share,mid_pickrate,offmeta_penalty,low_pickrate_penalty,importance_ratio_penalty,lolalytics_penalty,lolalytics_available,lolalytics_breadth,lolalytics_depth,lolalytics_classification,specialist_heuristic_flag,lolalytics_source_url,lolalytics_extraction_date,lolalytics_pickrate_scope,lolalytics_depth_scope
0.0,Talon,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.024900000000000002,0.06000000000000005,0.0,0.0,0.18000000000000016,True,1.17,1.09,popular,False,https://lolalytics.com/lol/talon/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Twisted Fate,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0432,0.3333333333333333,0.0,0.0,1.0,True,0.79,1.01,niche,True,https://lolalytics.com/lol/twistedfate/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Veigar,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0495,0.03333333333333336,0.0,0.0,0.10000000000000009,True,2.08,1.05,popular,False,https://lolalytics.com/lol/veigar/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Vel'Koz,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,1,0.05,0.011899999999999999,0.45915734297339555,0.4050000000000001,0.31247202892018644,0.6600000000000001,True,1.01,1.33,popular,True,https://lolalytics.com/lol/velkoz/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Vex,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,2,0.1,0.0344,0.4170341806155964,0.0,0.2511025418467891,1.0,True,0.91,1.05,niche,True,https://lolalytics.com/lol/vex/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Viktor,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0729,0.020000000000000018,0.0,0.0,0.06000000000000005,True,1.27,1.03,popular,False,https://lolalytics.com/lol/viktor/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Vladimir,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0294,0.3333333333333333,0.0,0.0,1.0,True,0.8,1.06,niche,True,https://lolalytics.com/lol/vladimir/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Xerath,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,True,4,0.2,0.057699999999999994,0.09984125184762789,0.0,0.27952375554288367,0.020000000000000018,True,2.07,1.01,popular,False,https://lolalytics.com/lol/xerath/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Yasuo,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.08789999999999999,0.12666666666666662,0.0,0.0,0.3799999999999999,True,3.23,1.19,popular,True,https://lolalytics.com/lol/yasuo/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Yone,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0571,0.013333333333333345,0.0,0.0,0.040000000000000036,True,2.84,1.02,popular,False,https://lolalytics.com/lol/yone/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Zed,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0682,0.040000000000000036,0.0,0.0,0.1200000000000001,True,2.0,1.06,popular,False,https://lolalytics.com/lol/zed/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
0.0,Ziggs,"Pantheon, Sion, Xerath",0.5423093552212241,0.5423093552212241,False,0,0.0,0.0096,0.17333333333333334,0.52,0.0,0.0,True,0.68,0.95,unpopular,False,https://lolalytics.com/lol/ziggs/build/?lane=middle&patch=16.7&tier=platinum_plus,2026-04-07,global_platinum_plus_ranked_solo_duo_mid,all_regions_all_ranks_last_7_days
