"champion_i","champion_i_normalized","champion_j","champion_j_normalized","lane","patch","elo","matchup_winrate_i_vs_j","matchup_games","source_url","extraction_date","champion_i_total_games","matchup_share_percent","low_matchup_sample","low_champion_sample"
"Xerath","xerath","Anivia","anivia","mid",16.05,"plat_plus",52.01,2790,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=anivia",2026-03-13,147739,1.88846546951042,0,0
"Xerath","xerath","Diana","diana","mid",16.05,"plat_plus",49.41,2368,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=diana",2026-03-13,147739,1.60282660638017,0,0
"Xerath","xerath","Zoe","zoe","mid",16.05,"plat_plus",49.02,2134,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zoe",2026-03-13,147739,1.4444391799051,0,0
"Xerath","xerath","Aurora","aurora","mid",16.05,"plat_plus",51.5,2095,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurora",2026-03-13,147739,1.41804127549259,0,0
"Xerath","xerath","Lissandra","lissandra","mid",16.05,"plat_plus",56.08,1983,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=lissandra",2026-03-13,147739,1.34223190897461,0,0
"Xerath","xerath","Galio","galio","mid",16.05,"plat_plus",54.57,1948,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=galio",2026-03-13,147739,1.31854148193774,0,0
"Xerath","xerath","Ryze","ryze","mid",16.05,"plat_plus",53.85,1948,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ryze",2026-03-13,147739,1.31854148193774,0,0
"Xerath","xerath","Ekko","ekko","mid",16.05,"plat_plus",50.03,1925,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ekko",2026-03-13,147739,1.3029734870278,0,0
"Xerath","xerath","Vex","vex","mid",16.05,"plat_plus",53.22,1879,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vex",2026-03-13,147739,1.27183749720791,0,0
"Xerath","xerath","Aurelion Sol","aurelionsol","mid",16.05,"plat_plus",49.6,1867,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=aurelionsol",2026-03-13,147739,1.26371506508099,0,0
"Xerath","xerath","Kassadin","kassadin","mid",16.05,"plat_plus",48.92,1668,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kassadin",2026-03-13,147739,1.12901806564279,0,0
"Xerath","xerath","Naafiri","naafiri","mid",16.05,"plat_plus",47.72,1599,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=naafiri",2026-03-13,147739,1.08231408091296,0,0
"Xerath","xerath","Irelia","irelia","mid",16.05,"plat_plus",50.75,1539,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=irelia",2026-03-13,147739,1.04170192027833,0,0
"Xerath","xerath","Akshan","akshan","mid",16.05,"plat_plus",50.68,1397,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=akshan",2026-03-13,147739,0.945586473443031,0,0
"Xerath","xerath","Azir","azir","mid",16.05,"plat_plus",62.23,1353,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=azir",2026-03-13,147739,0.915804222310967,0,0
"Xerath","xerath","Annie","annie","mid",16.05,"plat_plus",51.58,1332,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=annie",2026-03-13,147739,0.901589966088846,0,0
"Xerath","xerath","Vladimir","vladimir","mid",16.05,"plat_plus",53.28,1280,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=vladimir",2026-03-13,147739,0.866392760205497,0,0
"Xerath","xerath","Qiyana","qiyana","mid",16.05,"plat_plus",48.51,1107,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=qiyana",2026-03-13,147739,0.749294363708973,0,0
"Xerath","xerath","Taliyah","taliyah","mid",16.05,"plat_plus",55.72,1066,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=taliyah",2026-03-13,147739,0.721542720608641,0,0
"Xerath","xerath","Vel'Koz","velkoz","mid",16.05,"plat_plus",51.94,1032,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=velkoz",2026-03-13,147739,0.698529162915682,0,0
"Xerath","xerath","Talon","talon","mid",16.05,"plat_plus",45.82,921,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=talon",2026-03-13,147739,0.623396665741612,0,0
"Xerath","xerath","Ziggs","ziggs","mid",16.05,"plat_plus",56.51,830,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ziggs",2026-03-13,147739,0.561801555445752,0,0
"Xerath","xerath","Brand","brand","mid",16.05,"plat_plus",53.07,782,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=brand",2026-03-13,147739,0.529311826938046,0,0
"Xerath","xerath","Cassiopeia","cassiopeia","mid",16.05,"plat_plus",53.74,681,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=cassiopeia",2026-03-13,147739,0.460948023203081,0,0
"Xerath","xerath","Smolder","smolder","mid",16.05,"plat_plus",63.1,607,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=smolder",2026-03-13,147739,0.410859691753701,0,0
"Xerath","xerath","Swain","swain","mid",16.05,"plat_plus",51.15,524,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=swain",2026-03-13,147739,0.354679536209126,0,0
"Xerath","xerath","Sion","sion","mid",16.05,"plat_plus",49.31,432,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=sion",2026-03-13,147739,0.292407556569355,0,0
"Xerath","xerath","Malphite","malphite","mid",16.05,"plat_plus",51.94,412,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=malphite",2026-03-13,147739,0.278870169691144,0,0
"Xerath","xerath","Kog'Maw","kogmaw","mid",16.05,"plat_plus",52.32,388,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kogmaw",2026-03-13,147739,0.262625305437291,0,0
"Xerath","xerath","Morgana","morgana","mid",16.05,"plat_plus",50.14,347,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=morgana",2026-03-13,147739,0.234873662336959,0,0
"Xerath","xerath","Kayle","kayle","mid",16.05,"plat_plus",50.6,336,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=kayle",2026-03-13,147739,0.227428099553943,0,0
"Xerath","xerath","Jayce","jayce","mid",16.05,"plat_plus",50.76,329,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=jayce",2026-03-13,147739,0.222690014146569,0,0
"Xerath","xerath","Cho'Gath","chogath","mid",16.05,"plat_plus",50.47,317,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=chogath",2026-03-13,147739,0.214567582019643,0,0
"Xerath","xerath","Pantheon","pantheon","mid",16.05,"plat_plus",50,314,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=pantheon",2026-03-13,147739,0.212536973987911,0,0
"Xerath","xerath","Nasus","nasus","mid",16.05,"plat_plus",45.39,304,"https://op.gg/lol/champions/xerath/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=nasus",2026-03-13,147739,0.205768280548806,0,0
"Malzahar","malzahar","Ahri","ahri","mid",16.05,"plat_plus",47.87,11670,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=ahri",2026-03-13,206696,5.64597282966289,0,0
"Malzahar","malzahar","Yasuo","yasuo","mid",16.05,"plat_plus",54.27,8404,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=yasuo",2026-03-13,206696,4.06587452103572,0,0
"Malzahar","malzahar","Viktor","viktor","mid",16.05,"plat_plus",47.43,6433,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=viktor",2026-03-13,206696,3.1123001896505,0,0
"Malzahar","malzahar","Zed","zed","mid",16.05,"plat_plus",52.22,5856,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=zed",2026-03-13,206696,2.83314626311104,0,0
"Malzahar","malzahar","Mel","mel","mid",16.05,"plat_plus",54.4,5814,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=mel",2026-03-13,206696,2.81282656655184,0,0
"Malzahar","malzahar","Katarina","katarina","mid",16.05,"plat_plus",49.25,5789,"https://op.gg/lol/champions/malzahar/counters/mid?region=global&tier=platinum_plus&type=ranked&target_champion=katarina",2026-03-13,206696,2.80073150907613,0,0
